id,zero_intelligence_count,zero_intelligence_intensity,zero_intelligence_shading_min,zero_intelligence_shading_max,market_maker_count,market_maker_intensity,market_maker_number_orders,market_maker_number_of_ticks_between_orders,market_maker_spread_around_asset,national_best_bid_and_offer_delay,session_length
279,25,0.001,0,500,2,0.005,3,50,128,500,4000
280,66,0.001,0,500,2,0.005,3,50,128,500,4000
281,25,0.0005,0,250,4,0.005,3,50,128,500,4000
282,66,0.0005,0,250,4,0.005,3,50,128,500,4000
283,25,0.001,0,250,4,0.005,3,50,128,500,4000
284,66,0.001,0,250,4,0.005,3,50,128,500,4000
285,25,0.0005,0,500,4,0.005,3,50,128,500,4000
286,66,0.0005,0,500,4,0.005,3,50,128,500,4000
287,25,0.001,0,500,4,0.005,3,50,128,500,4000
288,66,0.001,0,500,4,0.005,3,50,128,500,4000
289,25,0.0005,0,250,2,0.005,3,25,256,500,4000
290,66,0.0005,0,250,2,0.005,3,25,256,500,4000
291,25,0.001,0,250,2,0.005,3,25,256,500,4000
292,66,0.001,0,250,2,0.005,3,25,256,500,4000
293,25,0.0005,0,500,2,0.005,3,25,256,500,4000
294,66,0.0005,0,500,2,0.005,3,25,256,500,4000
295,25,0.001,0,500,2,0.005,3,25,256,500,4000
296,66,0.001,0,500,2,0.005,3,25,256,500,4000
297,25,0.0005,0,250,4,0.005,3,25,256,500,4000
298,66,0.0005,0,250,4,0.005,3,25,256,500,4000
299,25,0.001,0,250,4,0.005,3,25,256,500,4000
300,66,0.001,0,250,4,0.005,3,25,256,500,4000
301,25,0.0005,0,500,4,0.005,3,25,256,500,4000
302,66,0.0005,0,500,4,0.005,3,25,256,500,4000
303,25,0.001,0,500,4,0.005,3,25,256,500,4000
304,66,0.001,0,500,4,0.005,3,25,256,500,4000
305,25,0.0005,0,250,2,0.005,3,50,256,500,4000
306,66,0.0005,0,250,2,0.005,3,50,256,500,4000
307,25,0.001,0,250,2,0.005,3,50,256,500,4000
308,66,0.001,0,250,2,0.005,3,50,256,500,4000
309,25,0.0005,0,500,2,0.005,3,50,256,500,4000
310,66,0.0005,0,500,2,0.005,3,50,256,500,4000
311,25,0.001,0,500,2,0.005,3,50,256,500,4000
312,66,0.001,0,500,2,0.005,3,50,256,500,4000
313,25,0.0005,0,250,4,0.005,3,50,256,500,4000
314,66,0.0005,0,250,4,0.005,3,50,256,500,4000
315,25,0.001,0,250,4,0.005,3,50,256,500,4000
316,66,0.001,0,250,4,0.005,3,50,256,500,4000
317,25,0.0005,0,500,4,0.005,3,50,256,500,4000
318,66,0.0005,0,500,4,0.005,3,50,256,500,4000
319,25,0.001,0,500,4,0.005,3,50,256,500,4000
320,66,0.001,0,500,4,0.005,3,50,256,500,4000
321,25,0.0005,0,250,2,0.005,3,25,128,1000,4000
322,66,0.0005,0,250,2,0.005,3,25,128,1000,4000
323,25,0.001,0,250,2,0.005,3,25,128,1000,4000
324,66,0.001,0,250,2,0.005,3,25,128,1000,4000
325,25,0.0005,0,500,2,0.005,3,25,128,1000,4000
326,66,0.0005,0,500,2,0.005,3,25,128,1000,4000
327,25,0.001,0,500,2,0.005,3,25,128,1000,4000
328,66,0.001,0,500,2,0.005,3,25,128,1000,4000
329,25,0.0005,0,250,4,0.005,3,25,128,1000,4000
330,66,0.0005,0,250,4,0.005,3,25,128,1000,4000
331,25,0.001,0,250,4,0.005,3,25,128,1000,4000
332,66,0.001,0,250,4,0.005,3,25,128,1000,4000
333,25,0.0005,0,500,4,0.005,3,25,128,1000,4000
334,66,0.0005,0,500,4,0.005,3,25,128,1000,4000
335,25,0.001,0,500,4,0.005,3,25,128,1000,4000
336,66,0.001,0,500,4,0.005,3,25,128,1000,4000
337,25,0.0005,0,250,2,0.005,3,50,128,1000,4000
338,66,0.0005,0,250,2,0.005,3,50,128,1000,4000
339,25,0.001,0,250,2,0.005,3,50,128,1000,4000
340,66,0.001,0,250,2,0.005,3,50,128,1000,4000
341,25,0.0005,0,500,2,0.005,3,50,128,1000,4000
342,66,0.0005,0,500,2,0.005,3,50,128,1000,4000
343,25,0.001,0,500,2,0.005,3,50,128,1000,4000
344,66,0.001,0,500,2,0.005,3,50,128,1000,4000
345,25,0.0005,0,250,4,0.005,3,50,128,1000,4000
346,66,0.0005,0,250,4,0.005,3,50,128,1000,4000
347,25,0.001,0,250,4,0.005,3,50,128,1000,4000
348,66,0.001,0,250,4,0.005,3,50,128,1000,4000
349,25,0.0005,0,500,4,0.005,3,50,128,1000,4000
350,66,0.0005,0,500,4,0.005,3,50,128,1000,4000
351,25,0.001,0,500,4,0.005,3,50,128,1000,4000
352,66,0.001,0,500,4,0.005,3,50,128,1000,4000
353,25,0.0005,0,250,2,0.005,3,25,256,1000,4000
354,66,0.0005,0,250,2,0.005,3,25,256,1000,4000
355,25,0.001,0,250,2,0.005,3,25,256,1000,4000
356,66,0.001,0,250,2,0.005,3,25,256,1000,4000
357,25,0.0005,0,500,2,0.005,3,25,256,1000,4000
358,66,0.0005,0,500,2,0.005,3,25,256,1000,4000
359,25,0.001,0,500,2,0.005,3,25,256,1000,4000
360,66,0.001,0,500,2,0.005,3,25,256,1000,4000
361,25,0.0005,0,250,4,0.005,3,25,256,1000,4000
362,66,0.0005,0,250,4,0.005,3,25,256,1000,4000
363,25,0.001,0,250,4,0.005,3,25,256,1000,4000
364,66,0.001,0,250,4,0.005,3,25,256,1000,4000
365,25,0.0005,0,500,4,0.005,3,25,256,1000,4000
366,66,0.0005,0,500,4,0.005,3,25,256,1000,4000
367,25,0.001,0,500,4,0.005,3,25,256,1000,4000
368,66,0.001,0,500,4,0.005,3,25,256,1000,4000
369,25,0.0005,0,250,2,0.005,3,50,256,1000,4000
370,66,0.0005,0,250,2,0.005,3,50,256,1000,4000
371,25,0.001,0,250,2,0.005,3,50,256,1000,4000
372,66,0.001,0,250,2,0.005,3,50,256,1000,4000
373,25,0.0005,0,500,2,0.005,3,50,256,1000,4000
374,66,0.0005,0,500,2,0.005,3,50,256,1000,4000
375,25,0.001,0,500,2,0.005,3,50,256,1000,4000
376,66,0.001,0,500,2,0.005,3,50,256,1000,4000
377,25,0.0005,0,250,4,0.005,3,50,256,1000,4000
378,66,0.0005,0,250,4,0.005,3,50,256,1000,4000
379,25,0.001,0,250,4,0.005,3,50,256,1000,4000
380,66,0.001,0,250,4,0.005,3,50,256,1000,4000
381,25,0.0005,0,500,4,0.005,3,50,256,1000,4000
382,66,0.0005,0,500,4,0.005,3,50,256,1000,4000
383,25,0.001,0,500,4,0.005,3,50,256,1000,4000
384,66,0.001,0,500,4,0.005,3,50,256,1000,4000
385,25,0.0005,0,250,2,0.005,3,25,128,0,12000
386,66,0.0005,0,250,2,0.005,3,25,128,0,12000
387,25,0.001,0,250,2,0.005,3,25,128,0,12000
388,66,0.001,0,250,2,0.005,3,25,128,0,12000
389,25,0.0005,0,500,2,0.005,3,25,128,0,12000
390,66,0.0005,0,500,2,0.005,3,25,128,0,12000
391,25,0.001,0,500,2,0.005,3,25,128,0,12000
392,66,0.001,0,500,2,0.005,3,25,128,0,12000
393,25,0.0005,0,250,4,0.005,3,25,128,0,12000
394,66,0.0005,0,250,4,0.005,3,25,128,0,12000
395,25,0.001,0,250,4,0.005,3,25,128,0,12000
396,66,0.001,0,250,4,0.005,3,25,128,0,12000
397,25,0.0005,0,500,4,0.005,3,25,128,0,12000
398,66,0.0005,0,500,4,0.005,3,25,128,0,12000
399,25,0.001,0,500,4,0.005,3,25,128,0,12000
400,66,0.001,0,500,4,0.005,3,25,128,0,12000
401,25,0.0005,0,250,2,0.005,3,50,128,0,12000
402,66,0.0005,0,250,2,0.005,3,50,128,0,12000
403,25,0.001,0,250,2,0.005,3,50,128,0,12000
404,66,0.001,0,250,2,0.005,3,50,128,0,12000
405,25,0.0005,0,500,2,0.005,3,50,128,0,12000
406,66,0.0005,0,500,2,0.005,3,50,128,0,12000
407,25,0.001,0,500,2,0.005,3,50,128,0,12000
408,66,0.001,0,500,2,0.005,3,50,128,0,12000
409,25,0.0005,0,250,4,0.005,3,50,128,0,12000
410,66,0.0005,0,250,4,0.005,3,50,128,0,12000
411,25,0.001,0,250,4,0.005,3,50,128,0,12000
412,66,0.001,0,250,4,0.005,3,50,128,0,12000
413,25,0.0005,0,500,4,0.005,3,50,128,0,12000
414,66,0.0005,0,500,4,0.005,3,50,128,0,12000
415,25,0.001,0,500,4,0.005,3,50,128,0,12000
416,66,0.001,0,500,4,0.005,3,50,128,0,12000
417,25,0.0005,0,250,2,0.005,3,25,256,0,12000
418,66,0.0005,0,250,2,0.005,3,25,256,0,12000
419,25,0.001,0,250,2,0.005,3,25,256,0,12000
420,66,0.001,0,250,2,0.005,3,25,256,0,12000
421,25,0.0005,0,500,2,0.005,3,25,256,0,12000
422,66,0.0005,0,500,2,0.005,3,25,256,0,12000
423,25,0.001,0,500,2,0.005,3,25,256,0,12000
424,66,0.001,0,500,2,0.005,3,25,256,0,12000
425,25,0.0005,0,250,4,0.005,3,25,256,0,12000
426,66,0.0005,0,250,4,0.005,3,25,256,0,12000
427,25,0.001,0,250,4,0.005,3,25,256,0,12000
428,66,0.001,0,250,4,0.005,3,25,256,0,12000
429,25,0.0005,0,500,4,0.005,3,25,256,0,12000
430,66,0.0005,0,500,4,0.005,3,25,256,0,12000
431,25,0.001,0,500,4,0.005,3,25,256,0,12000
432,66,0.001,0,500,4,0.005,3,25,256,0,12000
433,25,0.0005,0,250,2,0.005,3,50,256,0,12000
434,66,0.0005,0,250,2,0.005,3,50,256,0,12000
435,25,0.001,0,250,2,0.005,3,50,256,0,12000
436,66,0.001,0,250,2,0.005,3,50,256,0,12000
437,25,0.0005,0,500,2,0.005,3,50,256,0,12000
438,66,0.0005,0,500,2,0.005,3,50,256,0,12000
439,25,0.001,0,500,2,0.005,3,50,256,0,12000
440,66,0.001,0,500,2,0.005,3,50,256,0,12000
441,25,0.0005,0,250,4,0.005,3,50,256,0,12000
442,66,0.0005,0,250,4,0.005,3,50,256,0,12000
443,25,0.001,0,250,4,0.005,3,50,256,0,12000
444,66,0.001,0,250,4,0.005,3,50,256,0,12000
